doctor_id,doctor_name,therapy_area,segment,assigned_mr,scheduled_date,scheduled_time,recommended_molecules
D011,Dr. R. Desai,Cardiology,High,M001,2025-12-02,09:00,"['Furosemide', 'Carvedilol', 'Apixaban']"
D001,Dr. R. Sharma,Cardiology,High,M002,2025-12-02,09:30,"['Metoprolol', 'Atorvastatin', 'Ivabradine']"
D006,Dr. M. Rao,Cardiology,Mid,M003,2025-12-02,10:00,"['Sacubitril/Valsartan', 'Spironolactone', 'Carvedilol']"
D003,Dr. A. Kapoor,Diabetology,Mid,M004,2025-12-02,10:30,"['Metformin', 'Empagliflozin', 'Glimepiride']"
D015,Dr. Y. Patel,Respiratory,Mid,M001,2025-12-02,11:00,"['Theophylline', 'Tiotropium', 'Azithromycin']"
D004,Dr. P. Iyer,Respiratory,Mid,M002,2025-12-02,11:30,"['Fluticasone+Salmeterol', 'Glycopyrronium', 'Budesonide+Formoterol']"
D008,Dr. L. Bose,Pediatrics,Mid,M003,2025-12-02,12:00,"['Montelukast+Levocetirizine Syrup', 'Paracetamol Suspension', 'Cefpodoxime Dry Syrup']"
D012,Dr. S. Mukherjee,General Medicine,Mid,M004,2025-12-02,12:30,[]
D002,Dr. S. Verma,General Medicine,Mid,M001,2025-12-02,13:00,[]
D013,Dr. A. Bhattacharya,Gynaecology,Low,M002,2025-12-02,13:30,"['Progesterone SG', 'Dydrogesterone', 'L-Arginine']"
D005,Dr. N. Mehta,Neurology,Low,M003,2025-12-02,14:00,"['Olanzapine', 'Risperidone', 'Duloxetine']"
D009,Dr. K. Iqbal,Gastroenterology,Low,M004,2025-12-02,14:30,"['Pancreatin', 'UDCA', 'Ondansetron']"
D007,Dr. V. Ghosh,Orthopedics,Low,M001,2025-12-02,15:00,"['Aceclofenac', 'Diclofenac', 'Thiocolchicoside']"
D014,Dr. F. Khan,Dermatology,Low,M002,2025-12-02,15:30,"['Itraconazole', 'Adapalene+Clindamycin', 'Terbinafine']"
D010,Dr. T. Singh,Nephrology,Low,M003,2025-12-02,16:00,"['Erythropoietin', 'Sevelamer', 'Ferric Carboxymaltose']"
